"id","obpp_situr_code","obpp_name","code","project_ids/display_name","description","subcategory_id/name","category_id/name","investment_sector_id/name","obpp_estado","obpp_municipio","obpp_parroquia","state","accountability_id/percent"
"__export__.sinco_project_51042","05-16-03-001-0003","VIRGEN DEL VALLE (SIN NOMBRE COMERCIAL)","CCO-21-04-08-00028","Mejora Y Ampliacion De La Red Electrica En La Comunida De Virgen Del Valle ","Sustitucion De Lampra Publica En Las Calles De La Comunidad De Virgen Del Valle ","ALUMBRADO PÚBLICO","ELECTRICIDAD","SERVICIOS PÚBLICOS","ARAGUA","ZAMORA","NO URBANA SAN FRANCISCO DE ASÍS","En evaluación",""
"__export__.sinco_project_51043","CC-URB-2015-03-00013","CASTILLETE ARMANDO REVERON","CCO-21-24-01-00066","REDES DE AGUA POTABLE SECTOR CASTILLETE ARMANDO REVERON","REPARACIÓN Y SUSTITUCIÓN DE TUBERÍAS DE AGUAS BLANCAS PARA DISTRIBUCIÓN DENTRO DEL ÁMBITO TERRITORIAL ","REDES DE DISTRIBUCIÓN DE AGUA POTABLE","MANEJO INTEGRAL DEL AGUA","SERVICIOS PÚBLICOS","LA GUAIRA","VARGAS","MACUTO","En evaluación",""
"__export__.sinco_project_51044","21-20-06-001-0004","CC EL CUCHARITO (NO INDICA)","CCO-21-19-07-00078","MEJORAMIENTO Y REHABILITACIÓN DEL TENDIDO ELÉCTRICO DEL ALUMBRADO PUBLICO Y RESIDENCIAL, EN EL SECTOR EL CUCHARITO, PARROQUIA MENDOZA, MUNICIPIO VALERA, EDO TRUJILLO.","CONSISTE EN MEJORAR Y REHABILITAR 2.500 ML, METROS LINEALES DEL TENDIDO ELÉCTRICO DEL ALUMBRADO PUBLICO, DONDE SE COLOCARAN POSTES DE BAJA Y ALTA TENSIÓN, LAMPARAS DE 220 VOLTIOS Y UN BANCO DE TRANSFORMADOR, ESTO ES CON LA FINALIDAD DE ARREGLAR LAS FALLAS QUE PRESENTA EL SISTEMA ELÉCTRICOS PUBLICO DE LAS VIVIENDAS Y ALUMBRADO, YA QUE NO CONTAMOS CON LOS RECURSOS NECESARIOS PARA EL ARREGLOS DE NUESTRO SISTEMA ELÉCTRICO DE LA COMUNIDAD.","REDES ELÉCTRICAS URBANAS","ELECTRICIDAD","SERVICIOS PÚBLICOS","TRUJILLO","VALERA","MENDOZA","En evaluación",""
"__export__.sinco_project_51047","21-06-02-J46-0001","EL ALBA","CCO-21-19-04-00017","Establecimiento de 30 patios productivos de la comunidad El Alba","Establecimiento e impulso de  30 patios productivos de la comunidad El Alba para la  criá y engorde de pollos,  y siembra de rubros agrícolas café, cambur maíz, tomate,  pumemton, cebolla, pepino, calabacin, berenjena y frutales","CRÍA Y ENGORDE DE AVES DE CORRAL","SISTEMAS AGROPECUARIOS","SOCIOPRODUCTIVOS","TRUJILLO","ESCUQUE","LA UNIÓN","En evaluación",""
"__export__.sinco_project_51048","24-01-02-F86-0000","FILAS DE JESUS (NO INDICA)","CCO-21-24-01-00067","Rehabilitacion de Vialidad Agricola","Rehabilitación de 300 Metros de Pavimento rígido en la carretera Agrícola Tarmas Filas de Jesús que garantiza el traslado de Mercancía Agrícola de los sectores; Caripotes, Curiana, Hoyo de Muerto, Filas de Jesús y la Macanilla Hacia las Ferias Agrícolas en nuestro Estado la Guaira, Beneficiando 250 familias directamente y mas 750 Indirectamente, sin Contar los 120 Productores.","PAVIMENTO RÍGIDO","VIALIDAD","SERVICIOS PÚBLICOS","LA GUAIRA","VARGAS","CARAYACA","En evaluación",""
"__export__.sinco_project_51049","24-01-02-064-0000","CAPACHAL EN MARCHA","CCO-21-24-01-00068","construccion de vialidad agricola en concreto rigido comunidad capachal en marcha","conformacion de vialidad agricola y vaciado en concreto falta de vialidad pavimentada para sacar las cosechas del sector a fin de garantizar la soberanía alimentaria","PAVIMENTO RÍGIDO","VIALIDAD","SERVICIOS PÚBLICOS","LA GUAIRA","VARGAS","CARAYACA","En evaluación",""
"__export__.sinco_project_51052","20-12-01-001-0002","LLANO LOS ZAMBRANOS","CCO-21-18-05-00032","CONSTRUCCION DE TANQUE DE 400 MIL LITROS.  EN CONCRETO ARMADO (MEJORAMIENTO DE LA RED DE AGUA POTABLE DEL AREA URBANA LLANO DE LOS ZAMABRANOS, MUNICIPIO JÁUREGUI.ESTADO TACHIRA)"," SE PROYECTA CONSTRUIR UN TANQUE DE ALMACENAMIENTO DE AGUA EN CONCRETO ARMADO 77 M3 CEMENTO, CON SIKA IMPERMEABILIZANTE, REFUERZO METALICO. PARA 400 MIL LITROS DE AGUA. MODELO ACUERUR.  CON SISTEMA DE DISTRIBUCIÓN Y ACCESORIOS DE ENTRADA , SALIDA , VENTILACIÓN Y VARIOS QUE GARANTICEN EL SUMINISTRO DE AGUA DE 200l/hab/dia . ","TANQUES DE ALMACENAMIENTO","MANEJO INTEGRAL DEL AGUA","SERVICIOS PÚBLICOS","TÁCHIRA","JÁUREGUI","LA GRITA","En evaluación",""
"__export__.sinco_project_51053","23-13-10-001-0025","MIS DELICIAS II (SIN NOMBRE COMERCIAL)","CCO-21-21-05-00037","rehabilitacion de cancha deportiva","rehabilitacion de cancha deportiva en la comundiad mis delicias, instalacion de techo, friso de paredes, alumbrado, pintura para paredes y colocacion de plantilla y rehabilitacion de ciclon. ","CANCHAS DE USOS MÚLTIPLES AL AIRE LIBRE","DEPORTE","SERVICIOS PÚBLICOS","ZULIA","MARACAIBO","IDELFONSO VÁSQUEZ","En evaluación",""
"__export__.sinco_project_51056","23-17-06-001-0033","RICAUTE FUENMAYOR II","CCO-21-21-18-00052","rehabilitacion del alumbrado publico","CON LA REHABILITACIÓN DEl ALUMBRADO PUBLICO EN LA COMUNIDAD RICAUTE FUENMAYOR II  ESTAREMOS BENEFICIANDO 216 FAMILIAS APROXIMADAMENTE ASÍ MISMO, CON ESTE PROYECTO SE PRETENDE MINIMIZAR EL ALTO INDICE DELICTIVO EN LA COMUNIDAD DEBIDO A QUE LA MISMA SE ENCUENTRA A OSCURA . ASÍ MISMO SE PRETENDE DAR LA MAYOR SUMA DE  FELICIDAD POSIBLE A LOS HABITANTES DEL SECTOR.","ALUMBRADO PÚBLICO","ELECTRICIDAD","SERVICIOS PÚBLICOS","ZULIA","SAN FRANCISCO","MARCIAL HERNÁNDEZ","En evaluación",""
"__export__.sinco_project_51058","21-17-04-002-0000","VIRGEN DEL PILAR (SIN NOMBRE COMERCIAL)","CCO-21-19-14-00003","MEJORAMIENTO Y REHABILITACIÓN DEL ACUEDUCTO DE AGUA POTABLE Y SISTEMA DE RIEGO DEL SECTOR ZARAGOZA, PARROQUIA VALMORE RODRIGUEZ, MUNICIPIO SUCRE DEL ESTADO TRUJILLO.","CONSISTE EN REHABILITAR Y MEJORAR 3.500 METROS LINEALES DE TUBERÍAS DE 2 Y 4 PULGADAS CON SUS RESPECTIVOS ACCESORIOS Y COMPONENTES DEL ACUEDUCTO DE ZARAGOZA, ASÍ MISMO ARREGLO EN SU TOTALIDAD EL SISTEMA DE BOMBEO DE LA DISTRIBUCIÓN DEL AGUA POTABLE, ES UNA NECESIDAD PRIORITARIA PARA LA COMUNIDAD YA QUE EL SERVICIO ES DEMASIADO DEFICIENTE, TODO VA PERMITIR BENEFICIAR A 350 FAMILIAS DE LA ZONA Y A 85 PRODUCTORES AGRÍCOLA ANIMAL Y VEGETAL QUE CUENTA 550 HECTÁREAS PARA REGAR Y PRODUCIR ALIMENTOS PARA NUESTRA COMUNIDAD Y MUNICIPIOS ADYACENTES, DICHO PROYECTO SERA EJECUTADO CON LA PROPIA COMUNIDAD BENEFICIADAS.","REDES DE DISTRIBUCIÓN DE AGUA POTABLE","MANEJO INTEGRAL DEL AGUA","SERVICIOS PÚBLICOS","TRUJILLO","SUCRE","VALMORE RODRÍGUEZ","En evaluación",""
"__export__.sinco_project_51059","20-05-02-001-0008","VALBUENA (NO INDICA)","CCO-21-18-04-00054","REHABILITACIÓN Y AMPLIACIÓN DE ALUMBRADO PUBLICO DE PASAJE 1,2Y3; VEREDA 0,1 BIS; CALLE 2 Y VEREDA EL ROSARIO","LA RECUPERACIÓN DE LA ILUMINACIÓN EXTERIOR DE LA VIA PUBLICA, SE CAMBIARAN BOMBILLOS Y SE HARÁ UNA CONVERSIÓN DE ROSCA E40 A E27 EN CADA LUMINARIA EXISTENTES EN LA VÍA PUBLICA COMPRENDIDA EN LOS SECTORES DEL ÁREA FÍSICA DONDE HACE VIDA EL CONSEJO COMUNAL VALBUENA (PASAJES 1, 2 Y 3; VEREDA 0, 1 BIS Y EL ROSARIO; CALLE 2.), PROPORCIONANDO UNA ILUMINACIÓN DE ALTA CALIDAD, PARA ESTE OBJETIVO SE ILUMINARA 1400 METROS LINEALES CON 30 BOMBILLOS DE VAPOR DE SODIO DE 250W Y COLOCACIÓN DE 5 FOTOCELDAS DE ALUMBRADO PUBLICO DE 10A Y LA SUSTITUCIÓN DE 2 POSTES DE HIERRO DE 8 METROS DE BAJA Y COLOCACIÓN DE 150 METROS DE CABLE ARVIDAL DE ALUMINIO AWG 1/0. TRANSFORMANDO LOS ESPACIOS, DOTANDO DE UNA ILUMINACIÓN FIABLE, PARA TRANQUILIDAD Y SEGURIDAD A LA COMUNIDAD","ALUMBRADO PÚBLICO","ELECTRICIDAD","SERVICIOS PÚBLICOS","TÁCHIRA","CÁRDENAS","AMENODORO RANGEL LAMÚS","En evaluación",""
"__export__.sinco_project_51060","12-05-01-002-0000","COROZAL","CCO-21-10-01-00100","SOLICITUD DE 315 TANQUES DE 1000 LITROS PARA EL ALMACENAMIENTO DE AGUA POTABLE EN COROZAL, VALLE DE LA PASCUA ESTADO GUÁRICO","SOLICITAR 315 TANQUES DE 1000 LITROS  PARA EL ALMACENAMIENTO DE AGUA POTABLE, YA QUE NUESTRA COMUNIDAD CARECE DE DICHO BENEFICIO EL CUAL NOS AFECTA PORQUE NO TENEMOS DONDE ALMACENAR EL AGUA. SERÁN BENEFICIADAS 315 FAMILIAS.","TANQUES DE ALMACENAMIENTO","MANEJO INTEGRAL DEL AGUA","SERVICIOS PÚBLICOS","GUÁRICO","LEONARDO INFANTE","VALLE DE LA PASCUA","En evaluación",""
"__export__.sinco_project_51061","20-05-02-001-0031","UNIDOS POR LA LUCHA (SIN NOMBRE COMERCIAL)","CCO-21-18-04-00055","Construccion de Pavimento Rígido de la Calle 3B Las Tinajitas, en el marco de la Misión Venezuela Bella, primera etapa.","Construccion de Pavimento Rígido con concreto de 40 metros de largo por 8 metros de ancho por 0.12 metros de altura, para un total de 38.4 metros cúbicos de concreto, con resistencia 210 kgf/metro cuadrado, usando fibra de vidrio como sustituto de malla truckson y nivelación de calzada con material de préstamo","PAVIMENTO RÍGIDO","VIALIDAD","SERVICIOS PÚBLICOS","TÁCHIRA","CÁRDENAS","AMENODORO RANGEL LAMÚS","En evaluación",""
