id,obpp_situr_code,description,category_id/id,subcategory_id/id
__export__.sinco_project_46013,11-24-01-007-0001,"PROCURA DE 25 TANQUES DE AGUA TIPO CÓNICOS DE 1500 LITROS, PARA LAS FAMILIAS DEL CONSEJO COMUNAL CAUCA",sinco_project_category.sinco_project_cat_man,sinco_project_category.sinco_project_subcat_tan
__export__.sinco_project_46014,09-08-02-001-0000,EL PROYECTO CONSTA DE LA REHABILITACION DE LAS VIA AGRICOLA DE LA COMUNIDAD BERREBLEN DE LA SIERRA PARROQUIA JUAN ANGEL BRAVO MUNICIPIO EZEQUIEL ZAMORA DEL ESTADO COJEDES. PRIMERA ETAPA,sinco_project_category.sinco_project_cat_via,sinco_project_category.sinco_project_subcat_careng
__export__.sinco_project_46015,09-01-02-001-0007,"CONFORMACION DE VIALIDAD, CONSTRUCCION DE CUNETA EN TIERRA, COMPACTACION DE LA MISMA.",sinco_project_category.sinco_project_cat_via,sinco_project_category.sinco_project_subcat_careng
__export__.sinco_project_46017,09-08-02-007-0000,"NUESTRA VIALIDAD AGRÍCOLA ESTA EN TOTAL DETERIORO POR FALTA DEL MEJORAMIENTO DE LA VIA AGRICOLA, POR ESO LA PRODUCCION AGRICOLA SE PIERDE PORQUE NUESTROS PRODUCTORES NO PUEDE SACAR SU PRODUCCION ",sinco_project_category.sinco_project_cat_via,sinco_project_category.sinco_project_subcat_cartie
__export__.sinco_project_46019,09-02-01-001-0097,"SE ESTE PROYECTO PERMITIRÁ QUE LOS HABITANTES TENGA ACCESO A LA COMUNIDAD, YA QUE EN LA VAGUADA DEL AÑO 2018 SE DAÑO CON EL DESBORDAMIENTO DEL RIO, MEJORANDO LA CALIDAD DE VIDA DE  MISMO,EN ESTE PROYECTO SE CONSTRUIRÁ 200 METROS DE GAVIONES PARA SALVAGUARDAR EL PUENTE DE POSIBLES DESBORDAMIENTO Y SE CANALIZARÁ EL CAUCE DEL MISMO",sinco_project_category.sinco_project_cat_via,sinco_project_category.sinco_project_subcat_esc
__export__.sinco_project_46020,12-05-01-001-0104,"Falta de 170 metros de sistema de aguas servidas,  Este proyecto consiste en culminar 170 metros de sistema de aguas servidas dirigidos al  consejo comunal la trinidad, el cual beneficiara a aproximadamente a 861 familias. ",sinco_project_category.sinco_project_cat_man,sinco_project_category.sinco_project_subcat_redser
__export__.sinco_project_46021,12-11-01-001-0027,"ESTE PROYECTO TIENEN POR FINALIDAD ALUMBRAR EL SECTOR CASCO CENTRAL PARA UNA MEJOR CALIDAD DE VIDA DE  SUS HABITANTES, BENEFICIARA A 476 FAMILIAS Y ESTA ENMARCADO EN EL PROYECTO DE VENEZUELA BELLA.",sinco_project_category.sinco_project_cat_ele,sinco_project_category.sinco_project_subcat_alu
__export__.sinco_project_46022,12-11-01-001-0026,En el presente proyecto tiene finalidad la compra de tanque para el almacenamiento de agua potable ya que en nuestro comunidad que pertenece al sector rural del municipio José Félix Ribas tenemos una gran problemática con el bombeo y con esto beneficiaríamos a las familias para que tenga almacenamiento del vital liquido ,sinco_project_category.sinco_project_cat_man,sinco_project_category.sinco_project_subcat_tan
__export__.sinco_project_46024,09-08-02-O22-0000,ESTE PROYECTO CONSTA DE LA REHABILITACION Y MANTENIMIENTO DE LA VIA AGRICOLA DE LA COMUNIDAD PUEBLO ARRIBA MUNICIPIO EZEQUIEL ZAMORA ESTADO COJEDES PRIMERA ETAPA BERNEFICIANDO A 225 PRODUCTORES PARA ASI PODER MOVILIZAR LA PRODUCCION AGRTICOLA,sinco_project_category.sinco_project_cat_via,sinco_project_category.sinco_project_subcat_pav
__export__.sinco_project_46026,CC-RUR-2014-05-00086,EL PROYECTO CONSTA DE LA REPARACION Y MEJORAS DE LA RED DE ALUMBRADO PUBLICOS EN EL SECTOR PAULA CORREA DEL MUNICIPIO EZEQUIEL ZAMORA DEL ESTADO BOLIVARIANO DE COJEDES,sinco_project_category.sinco_project_cat_ele,sinco_project_category.sinco_project_subcat_alu
__export__.sinco_project_46028,09-06-01-001-0009,"EXISTE UN GRUPO DE 15 FAMILIAS QUE NO GOZAN DEL SERVICIO DE AGUA POTABLE, POR NO CONTAR CON TUBO MATRIZ PARA LA ADMINISTRACION DE LA MISMA, LO QUE GENERA GRAN INCOMODIDAD EN ESTOS HABITANTES, PUES DEBEN CARGAR DESDE DISTANCIAS RETIRADAS EL AGUA PARA SUS QUEHACERES, SIN TENER EL ACCESO OPORTUNO A ESTE SERVICIO TAN NECESARIO",sinco_project_category.sinco_project_cat_man,sinco_project_category.sinco_project_subcat_reddis
__export__.sinco_project_46029,CC-URB-2018-05-00002,consiste en la colocación de las tubería de aguas negras del sector ya que  no se cuenta sino con posos cesticos y en su mayoría ya llegaron a su ultimo estado y se desborda generando mal olor en las calles u puede atraer enfermedades,sinco_project_category.sinco_project_cat_man,sinco_project_category.sinco_project_subcat_redser
__export__.sinco_project_46031,21-20-03-A83-0000,"Se excabaran 15 huecos de 40 cms x 1.20 de pronfundidad para la colocacion con su respectivo cemento y arena 
postes de baja tension con sus perchas de 4 puntos, abrazaderas, conectores, 
almidal N° 2,  pintura color plata y negro, asi mismo se recuperaran 05 postes cambiando su rebestimiento de 
perchas conectores y almidal. Se colocaran 20 lamparas con brazo de vapor de sodio y bombillo de 220w
Asi mismo se colocaran acometidas para 30 viviendas cubiendo 3 calles y la avenida principal de san miguel de la floresta.
Se beneficicaaran 285 personas afectadas.  ",sinco_project_category.sinco_project_cat_ele,sinco_project_category.sinco_project_subcat_alu
__export__.sinco_project_46032,12-11-01-001-0013,"con la puesta en marcha de este proyecto se estaria solventando la problematica en la redes de cloacas en nuestro sector que desde hace varios anos se encuentran en deterioro, desbordandose las aguas servidas por las calles y veredas de la comunidad, es por ello que se sustituiran 300 metros de tuberias para un mejor funcionamiento.  Anexamos fotos del desbordamiento",sinco_project_category.sinco_project_cat_man,sinco_project_category.sinco_project_subcat_redser
__export__.sinco_project_46036,09-01-02-001-0017,"SUSTITUCION DE LUMINARIAS, REPARACION Y MANTENIMIENTO GENERAL  DE POSTERIAS, ALBIDAL ETC",sinco_project_category.sinco_project_cat_ele,sinco_project_category.sinco_project_subcat_alu
__export__.sinco_project_46039,09-02-01-001-0046,con la ejecución de este proyecto se realizara el mantenimiento y sondeo al pozo profundo así como también la adquisición del equipo de bombeo( Motor y Bomba) donde se beneficiaran 780,sinco_project_category.sinco_project_cat_man,sinco_project_category.sinco_project_subcat_pozpro
__export__.sinco_project_46040,09-02-01-001-0111,"el presente proyecto contempla la colocación de 200 metros de aguas servidas de 10 pulgadas ara el beneficio de 372 familias en el sector Teodoro bolívar, Tinaquillo Estado Cojedes ",sinco_project_category.sinco_project_cat_man,sinco_project_category.sinco_project_subcat_redser
__export__.sinco_project_46041,12-11-01-001-0009,"LA FINALIDAD DE ESTE PROYECTO ES ALUMBRAR EL SECTOR SAN SAN PABLO, Y DE ESTA FORMA GARANTIZAR A SUS HABITANTES UNA MEJOR CALIDAD DE VIDA PARA LOCUAL SE REQUIERE LA SUSTITUCIÓN DE LAMPARA Y BOMBILLOS  YA QUE EL SECTOR ESTA A OSCURAS LO CUAL PERMITE QUE EL HAMPA SE PERPETUE EN ESTE SECTOR Y NO LE PERMITA ASUS HABITANTES HACER VIDA SOCIAL.",sinco_project_category.sinco_project_cat_ele,sinco_project_category.sinco_project_subcat_alu
__export__.sinco_project_46042,09-02-01-001-0056,"INICIO DE LA PERFORACIÓN DE 100 METROS DE PROFUNDIZACIÓN DE POZO EN EL SECTOR CANDELARIA 1, EN CUAL SE COMPRARÁ (01) TRANSFORMADOR DE 37,5 KVA MAGUERA Y EQUIPOS ELECTRICOS",sinco_project_category.sinco_project_cat_man,sinco_project_category.sinco_project_subcat_pozpro
__export__.sinco_project_46043,CC-RUR-2014-05-00069,LAS FALTA DE SISTEMA DE ALUMBRADO PUBLICO Y LA CARECIAS DE LUMINARIAS Y ACONDICIONAMIENTO DE VIDALES Y TRANSFORMADORES HACE QUE ESTE DERECHO HUMANO SUFRA POR FALTA DE UN SISTEMA ELECTRICO FUERTE EN BENEFICIO DE 69 FAMILIAS,sinco_project_category.sinco_project_cat_ele,sinco_project_category.sinco_project_subcat_alu
__export__.sinco_project_46044,12-11-01-079-0000,En el siguiente proyecto se tiene como finalidad la compra de tanques de almacenamiento de agua potable para beneficiar la comunidad rural de Corcobao ya que se presentan dificultad con el bombeo de agua potable las familias habitantes de la comunidad tienen la necesidad de poseer donde almacenar el vital liquido ,sinco_project_category.sinco_project_cat_man,sinco_project_category.sinco_project_subcat_tan
